,dhlabid,urn,lenker,title,authors,oaiid,city,year,publisher,langs,subjects,ddc,genres,literaryform,kristin,sesamid,isbn10,timestamp,doctype,ocr_creator,ocr_timestamp
10122,100355222,URN:NBN:no-nb_digibok_2017112108005,Vis element,En Billedbok med 40 ulike biler,,,Oslo,1984,Litor,nob,,629.22,,Faglitteratur,,,,,,,
10123,100356136,URN:NBN:no-nb_digibok_2017112248139,Vis element,Poeng-quiz : spørrelek for hele familien. 1984,"Larsen , Steinar",,[Oslo],1984,Damm,nob,Spørrebøker,793.7,,Faglitteratur,,,,,,,
10124,100356158,URN:NBN:no-nb_digibok_2017112248167,Vis element,"Kjære Sandra! : 100 spørsmål og svar fra spørrespalten i ""Romantikk""",,,Oslo,1984,Bladkompaniet,nob,Psykologi / samliv / seksualliv / norge / rådgivning,362.7,,Faglitteratur,,,,,,,
10125,100357126,URN:NBN:no-nb_digibok_2017120848011,Vis element,Elvis - slik jeg møtte ham,"Holm , Yngvar",,Oslo,1984,Ypsilon forlag,nob,Biografier / popmusikk / rock / forente / stater / musikere / sangere,782.42166092 / 784.50092,festschrift / biography,Faglitteratur,,,,,,,
10126,100365582,URN:NBN:no-nb_digibok_2018031368001,Vis element,Dyr på landet,,,Oslo,1984,Litor,nob,,636,,Faglitteratur,,,,,,,
10127,100365583,URN:NBN:no-nb_digibok_2018031368003,Vis element,Dyr på landet,,,Oslo,1984,Litor,nob,,636,,Faglitteratur,,,,,,,
10128,100365584,URN:NBN:no-nb_digibok_2018031368004,Vis element,Små dyrevenner,,,Oslo,1984,Litor,nob,,636,,Faglitteratur,,,,,,,
10129,100365585,URN:NBN:no-nb_digibok_2018031368005,Vis element,Dyreunger,"Hinz , Rolf",,Oslo,1984,Litor,nob,,591,,Faglitteratur,,,,,,,
10130,100378428,URN:NBN:no-nb_digibok_2018091748002,Vis element,Dyr på landet,,,Oslo,1984,Litor,nob,,636,,Faglitteratur,,,,,,,
10131,100438328,URN:NBN:no-nb_digibok_2021031548504,Vis element,Mowgli : av Tor Åge Bringsvær,,,[Oslo],1984,Riksteatret,nob,teaterforestilling / barn,,tekst,Skjønn,Skjønn,,,,,,
10132,100592677,URN:NBN:no-nb_digibok_2021100705013,Vis element,Snipp snapp : Aktivitetsblokk for barn,"Gjerdrum , Anne-Lise / Øvergård , Berit / Grossmann , Werner",,[Oslo],1984,Cappelen,nob,lærebøker / åringer / undervisning / grunnskolen,,,Faglitteratur,,,,,,,
10133,100217751,URN:NBN:no-nb_digibok_2014070705123,Vis element,Lille Lise og regnet,"Lukešová , Milena / Faafeng , Jana M. . / Kudláček , Jan / Faafeng , Jana . / Kudláček , Jan .",,Oslo,1984,Focus,nob / cze,regn / billedbøker / tsjekkiske,,,Skjønn,Skjønn,,,,,,
10134,100136147,URN:NBN:no-nb_digibok_2013022238023,Vis element,Keiserens nye klær,"Andersen , H. C. ( Hans Christian ) / Desputeaux , Hélène / Sem , Ingebjørg Dahl / Desputeaux , Hélène",,Oslo,1984,Luther,nob / dan,billedbøker / eventyr,839.813,fiction,Skjønnlitteratur,,,,,,,
10135,100136151,URN:NBN:no-nb_digibok_2013022238028,Vis element,Det er helt sant!,"Andersen , H. C. ( Hans Christian ) / Sem , Ingebjørg Dahl / Crozat , Francois",,Oslo,1984,Luther,nob / dan,billedbøker / eventyr / danske,839.813,fiction,Skjønnlitteratur,,,,,,,
10136,100145751,URN:NBN:no-nb_digibok_2013042506034,Vis element,For første gang,"Jensen , Paul Erik / Thorvall , Kerstin / Rogde , Isak",,[Oslo],1984,Tiden,nob / dan,"Sex / Adolescent / Sex Behavior, Animal / Samliv / adolescents / sex-education / ungdom / seksualitet / seksualopplysning / seksualteknikk / kjønnsliv",613.96,,Faglitteratur,,,,,,,
10137,100172336,URN:NBN:no-nb_digibok_2013100708003,Vis element,Halfdans ABC,"Rasmussen , Halfdan / Nyquist , Arild / Spang Olsen , Ib",,Oslo,1984,Litor,nob / dan,abc-bøker / billedbøker / bokstaver / abc,,,Uklassifisert,,,,,,,
10138,100182856,URN:NBN:no-nb_digibok_2013121105029,Vis element,Jeg og bestefar - og Nisse-Nils,"Kirkegaard , Ole Lund / Ljone , Sigvor / Ljone , Oddmund / Otto , Svend / Otto , Svend",,Oslo,1984,Gyldendal,nob / dan,Julefortellinger / barnelitteratur / barnebøker / jul / nisser,839.813,fiction,Skjønnlitteratur,,,,,,,
10139,100190646,URN:NBN:no-nb_digibok_2014021006127,Vis element,Bra å vite,"Lauest , Suzanne / Wikborg , Tom . / Reichenbach , Gurli / Rogde , Isak",,[Oslo],1984,Tiden,nob / dan,Adolescence / Sex behavior / Sex / Pubertet / Samliv / ungdom / seksualitet / kjønnsliv / seksualopplysning / seksualteknikk(veiledning) / samlivslære / preventive / middel,613.96,,Faglitteratur,,,,,,,
10140,100191667,URN:NBN:no-nb_digibok_2014021308078,Vis element,Ragnarokk : en gudefortelling,"Sørensen , Villy / Messel , Gunnar / Andersson , Rune Johan",,Oslo,1984,Huitfeldt,nob / dan,Mytologi / norrøn / mytologi / barnebøker,293,,Faglitteratur,,,,,,,
10141,100194932,URN:NBN:no-nb_digibok_2014031006131,Vis element,Antonia og Morgenstjernen,"Hentze , Ebba / Knutsen , Per . / Heinesen , William",,Oslo,1984,Gyldendal,nob / dan,barnebøker / færøyene / skjønnlitteratur,839.699 / 839.813,fiction,Skjønnlitteratur,,,,,,,
10142,100218247,URN:NBN:no-nb_digibok_2014080108099,Vis element,Ridder av søppelkassa,"Reuter , Bjarne / Morisse , Tor / Lie , Erik",,[Stabekk],1984,Bokklubbens barn,nob / dan,barnebøker / samfunnskritikk,839.813,fiction,Skjønnlitteratur,,,,,,,
